#298.15 -> 2000 for radius = 0.0001 for material: Железо
        Counter |            Time |        Velocity |                  Distance |     Temperature
47996.00        | 0.58            | 4.71            | 1.66                      | 1167.34        
48919.00        | 0.59            | 4.80            | 1.72                      | 1178.69        
49842.00        | 0.60            | 4.89            | 1.79                      | 1189.92        
50765.00        | 0.61            | 4.98            | 1.85                      | 1200.97        
51688.00        | 0.63            | 5.07            | 1.92                      | 1211.89        
52611.00        | 0.64            | 5.16            | 1.99                      | 1222.63        
53534.00        | 0.65            | 5.25            | 2.06                      | 1233.26        
54457.00        | 0.66            | 5.34            | 2.13                      | 1243.71        
55380.00        | 0.67            | 5.43            | 2.21                      | 1254.05        
56303.00        | 0.68            | 5.52            | 2.28                      | 1264.22        
57226.00        | 0.69            | 5.61            | 2.36                      | 1274.28        
58149.00        | 0.70            | 5.70            | 2.43                      | 1284.18        
59072.00        | 0.72            | 5.80            | 2.51                      | 1293.96        
59995.00        | 0.73            | 5.89            | 2.59                      | 1303.59        
60918.00        | 0.74            | 5.98            | 2.67                      | 1313.11        
61841.00        | 0.75            | 6.07            | 2.75                      | 1322.47        
62764.00        | 0.76            | 6.16            | 2.83                      | 1331.73        
63687.00        | 0.77            | 6.25            | 2.92                      | 1340.85        
64610.00        | 0.78            | 6.34            | 3.00                      | 1349.86        
65533.00        | 0.79            | 6.43            | 3.09                      | 1358.72        
66456.00        | 0.80            | 6.52            | 3.18                      | 1367.49        
67379.00        | 0.82            | 6.61            | 3.27                      | 1376.11        
68302.00        | 0.83            | 6.70            | 3.36                      | 1384.64        
69225.00        | 0.84            | 6.79            | 3.45                      | 1393.03        
70148.00        | 0.85            | 6.88            | 3.54                      | 1401.33        
71071.00        | 0.86            | 6.97            | 3.63                      | 1409.49        
71994.00        | 0.87            | 7.06            | 3.73                      | 1417.56        
72917.00        | 0.88            | 7.15            | 3.82                      | 1425.51        
73840.00        | 0.89            | 7.24            | 3.92                      | 1433.36        
